,id,object_name,chain,object_type,address,number,coordinates,street
14798,223171,кондитерская «пряник.рогалик»,нет,кафе,"город Москва, город Троицк, Пионерская улица, дом 2",20,no coordinates,no street
14799,205150,мойкофебар,нет,кафетерий,"город Москва, город Московский, Радужная улица, дом 14, корпус 2",0,no coordinates,no street
14800,218929,точтонадо,нет,кафе,"город Москва, город Московский, Радужная улица, дом 14, корпус 4",8,no coordinates,no street
14801,219617,кафе пекарня,нет,кафе,"город Москва, город Московский, Радужная улица, дом 19, корпус 1",8,no coordinates,no street
14802,211471,вкусное место,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 11",25,no coordinates,no street
14803,211194,кофейня,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 9",12,no coordinates,no street
14804,205486,шаурма,нет,закусочная,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 6",0,no coordinates,no street
14805,217899,фреш-кафе,нет,кафе,"город Москва, Новорижское шоссе, 22-й километр, владение 1, строение 1",0,no coordinates,no street
14806,217895,ресторан - глобус,нет,ресторан,"город Москва, Новорижское шоссе, 22-й километр, владение 1, строение 1",400,no coordinates,no street
14807,214436,кафе,нет,буфет,"город Москва, поселение ""Мосрентген"", МКАД, 44-й километр, владение 1, строение 1",36,"37.466979,55.630782","МКАД, 44-й километр"
14808,213635,кафе,нет,кафе,"город Москва, поселение Сосенское, деревня Сосенки, Ясеневая улица, дом 3",46,no coordinates,no street
14809,214220,пункт общественного питания «шаурма»,нет,предприятие быстрого обслуживания,"город Москва, город Троицк, улица Полковника Милиции Курочкина, дом 1",0,no coordinates,no street
14810,206875,столовая,нет,столовая,"город Москва, поселение Первомайское, деревня Поповка, Дорожная улица, дом 12, строение 1",28,no coordinates,no street
14811,223158,шаурма № 1,нет,буфет,"город Москва, поселение Воскресенское, посёлок Воскресенское, дом 22А",0,no coordinates,no street
14812,213371,домашняя кухня,нет,буфет,"город Москва, поселение Воскресенское, посёлок Воскресенское, дом 40, корпус 1",0,no coordinates,no street
14813,223183,шаурма,нет,буфет,"город Москва, поселение Воскресенское, посёлок Воскресенское, дом 9, корпус 1",0,no coordinates,no street
14814,222098,ежевика,нет,кафе,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 2",30,no coordinates,no street
14815,222079,daily chef,нет,бар,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 1",32,no coordinates,no street
14816,213308,granat,нет,ресторан,"город Москва, поселение Московский, Киевское шоссе, 23-й километр, домовладение 8, строение 1",68,no coordinates,no street
14817,219644,кафе,нет,закусочная,"город Москва, город Троицк, микрорайон ""В"", дом 37",0,no coordinates,no street
14818,209037,кафетерий «тоткот»,нет,кафетерий,"город Москва, поселение Десеновское, Нововатутинский проспект, дом 12",10,no coordinates,no street
14819,217523,закусочная,нет,закусочная,"город Москва, поселение Воскресенское, посёлок Воскресенское, владение 54А, строение 1",1,no coordinates,no street
